is_res,normalize,act,n_layers,hidden_nodes,lr,weight_decay,gamma,batch_size,MSE
"
","
", ,D,a,t,a,c,a,s,e,:, ,l,e,f,t,_,r,i,g,h,t,_,b,o,t,h,_,e,n,d,s
True,False,lrelu,1,720,0.07919532883045241,1.2534675019220908e-06,0.005365892371785878,128,0.002967507335942135
False,False,lrelu,3,564,0.008177206976398801,0.0002741043026766383,0.005765694896371715,64,0.0014363792073146778
True,True,swish,0,1018,0.0008927479831700854,4.9858438001787755e-05,0.002725095099060888,32,0.00868192727694347
True,False,swish,0,977,0.00011025575697390165,3.182907164707867e-05,0.009054493008835514,128,0.01155869554681189
False,True,sigmoid,1,709,0.08818290165616927,5.633683894091709e-06,0.0008721794667285931,32,0.001611486569564362
False,False,sigmoid,3,911,0.024026820945731275,4.315675916309495e-07,0.0023322097778955666,32,0.06439797145371941
False,True,swish,3,500,0.0017715024215937225,3.854941265064981e-07,0.00649426063864348,32,8.906661093125774e-05
True,True,relu,1,43,0.0002500172152687693,0.000477215563208254,0.007759356570211107,32,0.005384070631157049
False,False,lrelu,3,972,0.015295220106714542,6.106773520412616e-06,0.0043636924590876374,64,3152.939464448569
False,False,tanh,2,921,0.008681153824817961,0.0001394220755392216,0.0023549528324413004,64,0.0014683992968046733
False,True,swish,4,280,0.0018440308315489755,1.131711819997987e-07,0.007299455749460308,32,0.00010272114685294436
False,True,swish,4,240,0.0017618765566204293,1.0598588646163978e-07,0.007320976752048396,32,0.00010282865843207523
False,True,swish,4,316,0.0014571191281330853,1.1263997301628989e-07,0.009383600583812143,32,0.00010286775485920508
False,True,swish,4,360,0.0037360035464783633,5.731803151163917e-07,0.007016057423850456,32,9.030981137628032e-05
False,True,relu,3,460,0.0038614617621980894,1.0369357064257915e-06,0.006203293741704352,128,0.00010460527640492364
False,True,tanh,2,425,0.000602320786678015,4.896480663078148e-07,0.004608507335417891,32,9.521388783506535e-05
False,True,swish,4,626,0.004236671955614904,2.3539276216556193e-06,0.008246420097677806,32,0.0024979969663920065
False,True,swish,3,70,0.0007687676688061376,3.612260687929538e-07,0.006651287589527337,32,0.0001469366781808117
True,True,swish,4,162,0.002960996587445119,1.9365536482167924e-06,0.008507224238973106,128,0.0001353543285229616
False,True,tanh,2,397,0.0005081848206115854,3.243441850873363e-07,0.006755455107466123,64,0.00010402670191518354
False,True,relu,3,536,0.0003330610332309714,3.0802809940692105e-06,0.009358943459261557,32,0.00010178160434035834
False,True,tanh,2,407,0.000980136458590529,6.495839844197488e-07,0.00489570491988357,32,9.344171533011624e-05
False,True,tanh,2,370,0.0011152232004022751,7.010101435458582e-07,0.005318725480121233,32,9.530290198708419e-05
False,True,tanh,2,211,0.002338050116757748,2.2904279076169022e-07,0.006403376528424603,32,9.751052452484739e-05
False,True,sigmoid,3,484,0.0012738404288974898,7.887155050753431e-07,0.00992287044989012,32,0.0001624346770945099
False,True,tanh,4,682,0.0029754159174173334,2.0308216450093725e-07,0.004185998995609691,32,0.0001264464232865049
True,True,swish,2,325,0.0051625654064897586,1.1797437596065069e-06,0.0058283499621726,32,0.0001273426354730368
False,True,swish,1,607,0.0015405290863014394,6.27881826144876e-07,0.006980651552819189,32,0.000510208524868807
False,True,tanh,3,480,0.0009243607749496865,2.2410082035287592e-07,0.004923994967783439,128,9.613863492590518e-05
True,False,lrelu,4,174,0.0024503729349092656,1.455898456964991e-06,0.007773722210135376,64,0.00010439345115598364
False,True,sigmoid,3,795,0.005749155290433728,3.1962849410223503e-06,0.005668584829256875,128,0.0025443347482143465
False,True,tanh,2,409,0.0005404253190764025,7.94797559379399e-07,0.005018904117213455,32,9.550236242463481e-05
False,True,tanh,2,418,0.0005536323975159202,4.6148047131825885e-07,0.006169954005820655,32,9.58470763246832e-05
False,True,tanh,2,564,0.002138652804128346,1.4242928456118367e-06,0.0045876584034755495,32,9.932777638099829e-05
False,False,lrelu,1,312,0.0008765599881022873,5.54365057810514e-07,0.0038913896024860397,32,0.00012309895257334627
True,True,tanh,0,492,0.0011945239297508244,2.8561479142725956e-07,0.005429841267609029,32,0.0013224770453539223
False,True,swish,2,363,0.0034548797564039942,4.747681275308101e-07,0.003767610187138311,32,0.00011109338479276922
False,False,relu,1,461,0.00022300238733340851,1.2672643313066774e-05,0.0058940196347504175,64,0.0006120134944293442
True,True,swish,3,764,0.0007211232985436183,1.1726108000448896e-06,0.0034907135830613443,32,0.00011330596422683901
False,True,lrelu,3,622,0.0017621684905704729,1.6552609372740184e-07,0.004827239425149839,32,0.00010413903695594011
False,False,sigmoid,1,528,0.0527445290609759,3.7272352952583653e-07,0.005251902667922977,128,0.0006380018942600347
False,True,tanh,2,366,0.001207116076871925,5.924522845196491e-07,0.005527396272854752,32,9.5528503470851e-05
False,True,tanh,2,261,0.0010473106338476932,8.053324360215717e-07,0.004504214647423406,32,9.614399772829846e-05
False,True,tanh,2,424,0.002339182510801141,3.4782812447173105e-07,0.006333431137181002,32,9.872455420961198e-05
False,True,tanh,2,367,0.0014079443045350688,1.602339863411908e-07,0.005229005682847511,32,9.923494608957369e-05
False,True,tanh,3,558,0.007024678278169662,7.344980699334787e-07,0.005933144770738028,32,0.000169106350652807
False,True,swish,0,322,0.0007254473684112578,4.911721778582727e-07,0.0070772261619829096,64,0.0067960521705168935
False,True,swish,1,449,0.009776458010361963,1.8201501323299711e-06,0.006634400480760687,32,0.0003157922255594196
False,False,relu,4,209,0.0030430821677396177,2.6394832874312186e-07,0.0031317771176310625,32,0.00010514703219283937
True,True,tanh,2,506,0.001588179198400625,9.618829789025311e-07,0.007474968320498945,32,9.178403324249323e-05
True,True,swish,2,524,0.0018709584383549086,1.0100216599712223e-06,0.007692865807637299,32,0.00012236274708117797
True,True,tanh,2,370,0.0010692416455609836,4.0736112303950087e-07,0.006755927167700733,32,9.794236280771416e-05
True,True,tanh,2,581,0.0015497633609935213,9.317251426861671e-07,0.007426954332284509,32,9.364511037663597e-05
True,True,tanh,3,653,0.004186486774125054,9.793357127286705e-07,0.008355112168511649,32,0.00010638490076537475
True,True,tanh,2,610,0.0014099806874312579,3.2224123130772154e-07,0.007348099616720617,32,9.892927929218045e-05
True,True,tanh,2,509,0.001868256341142282,2.366486999743573e-06,0.00790981927721528,32,0.000107023419809651
True,True,swish,4,571,0.0025643965946336523,5.695043114817516e-07,0.007393158241744203,128,0.00014351651602183515
True,True,sigmoid,3,285,0.003569952705804305,9.760014231161905e-07,0.006952731714935924,32,0.000538656219781172
True,True,tanh,2,737,0.0016207888100979596,1.6453427831656312e-06,0.008673783526425099,64,0.00010049250747034878
True,True,lrelu,1,451,0.0008514749732181249,2.486011407918232e-07,0.008092016559512739,32,0.0001034004037100388
True,True,relu,2,673,0.0028624064491864667,1.3455461469503713e-07,0.006364986814772667,32,9.686851374867909e-05
False,True,tanh,2,388,0.001185307660835558,7.302393773576956e-07,0.0060324443356368634,32,9.383528250175006e-05
False,True,tanh,2,435,0.0021492811283168978,6.499624836824042e-07,0.006115636274927513,32,9.630380926113447e-05
False,True,tanh,2,398,0.0013858106828360938,4.61266756508256e-07,0.007474697704007926,32,9.421886430486228e-05
False,True,tanh,2,394,0.0015846574772343522,1.2429900551006896e-06,0.0075087150544021755,32,9.48108017028906e-05
False,True,tanh,3,585,0.0013477257301426808,4.0852243610266664e-07,0.0072349351479749245,32,0.00010096745997425347
True,True,swish,2,496,0.0009426788288240668,1.9826084204465398e-07,0.0065932901583004395,32,0.00011891033408997633
False,False,tanh,2,348,0.002050777632836928,8.716059827971568e-07,0.006980199702960738,32,9.206673642290643e-05
False,False,tanh,1,339,0.0023377903874498584,8.24686419386756e-07,0.006932075166999024,128,0.00019115208381611945
False,False,swish,4,283,0.0019166174278451653,1.2768820604528072e-06,0.008017741590483365,32,0.00010788586574194657
True,False,tanh,3,473,0.004656476494885625,6.170918819134911e-07,0.006518260885498974,32,0.00012147797224364143
False,False,tanh,2,401,0.003278545400451227,9.498445085520168e-07,0.007528873214619238,32,9.610508658980705e-05
False,False,tanh,2,339,0.00123246965706045,3.018660255965046e-07,0.007262828758078466,32,9.696330219956032e-05
False,True,tanh,2,543,0.0015853388755673146,4.573333515107897e-07,0.007717129191264455,32,9.592175644047606e-05
False,True,tanh,2,238,0.0010743089355363025,7.878019964294678e-07,0.006903537116657714,32,9.822232911473772e-05
False,False,sigmoid,2,391,0.002763722643481525,5.551545394789282e-07,0.00563742038376176,64,0.0001861814535693845
False,True,tanh,2,854,0.001894114087000574,2.1606491461868846e-06,0.006223197436854148,32,0.00011369077535510544
False,True,lrelu,3,308,0.0007033782505020217,1.6381676257047365e-06,0.00720993306643699,32,9.581567935981956e-05
False,True,swish,2,437,0.0038521481416221703,3.573907004236242e-07,0.005969298013048631,32,9.956545847496975e-05
False,True,tanh,2,589,0.0013436922850280355,1.2930841587664887e-06,0.0068191418386114215,32,0.00010025239615421249
False,False,relu,2,480,0.0009970806285811223,6.688842707165361e-07,0.006537187478479722,128,0.00014845738152335707
False,True,tanh,2,388,0.0015662704283511484,1.2185109943140533e-06,0.007644329422037235,32,9.405309861994884e-05
False,True,tanh,2,353,0.002251986303908624,4.918347268124254e-07,0.007612140093490923,32,9.79152175640114e-05
False,True,tanh,2,388,0.0014808655009561208,9.124195213909745e-07,0.008004156658432758,32,9.507643475151805e-05
False,True,tanh,2,507,0.0008713662412834515,1.1086570077219e-06,0.0071212649312725725,32,9.447244212850358e-05
False,True,tanh,3,417,0.0011867801481556626,7.099791216480649e-07,0.007875043156104159,32,9.683278652840015e-05
False,True,swish,2,452,0.0026566086146485165,3.850631053927244e-07,0.00676703023204429,32,0.00011895208159609117
True,True,tanh,2,304,0.0020333647664895526,5.113041994718658e-07,0.008352403222811352,32,9.631981052063365e-05
False,True,tanh,1,348,0.0006297254408871664,3.0337558010464564e-07,0.0073967607610552185,32,0.00013249705843527816
False,True,swish,4,252,0.0016526406733169713,1.4477712845737902e-06,0.007074856271358794,64,9.979930635061452e-05
True,True,tanh,1,541,0.0011757194300175404,8.007504449234758e-07,0.0057849266271986595,32,0.0001227114142650183
False,True,tanh,2,511,0.0009018859962217778,9.94641988131633e-07,0.0071250742852721006,32,9.405275729772602e-05
False,True,tanh,2,513,0.000799194042830739,6.388130106026139e-07,0.007707207374911146,32,9.410660925263857e-05
False,True,tanh,2,640,0.0007884579718265051,1.1072508379870657e-06,0.007745945687071033,32,9.36856936902777e-05
False,True,tanh,2,624,0.0004745573187435138,1.1622943378016726e-06,0.006392279143423786,32,9.472042657217916e-05
False,True,sigmoid,2,588,0.0009459867764824143,1.0722766794522587e-06,0.007026657409294291,32,0.0002586378995686229
False,True,tanh,2,657,0.0010629294184959605,9.468818618522933e-07,0.006685199272355642,32,9.28109567658756e-05
False,True,tanh,2,702,0.0010871039964478351,9.071164539669151e-07,0.006146220096101525,32,9.395732672655946e-05
True,True,lrelu,3,654,0.0010783686454960144,1.8096871222217404e-06,0.006063090964000772,32,9.359913906781057e-05
True,False,lrelu,4,644,0.0007548138595567832,1.6381984595722922e-06,0.005435695786755966,32,9.733028297394907e-05
True,True,lrelu,3,694,0.0017925347530760407,1.920125464493115e-06,0.006648877150970589,128,0.00011342016365694071
True,True,lrelu,2,730,0.0012126403610475405,8.283330900991887e-07,0.006225767096505984,32,9.343016447113322e-05
True,True,lrelu,2,730,0.001260827411247992,6.990799398354989e-07,0.005972818421055554,32,9.695931924280232e-05
True,True,lrelu,2,786,0.002101701276846772,5.834113119917393e-07,0.006368368426560477,32,9.625840573372999e-05
True,True,lrelu,2,643,0.001111962533432848,8.214067721259606e-07,0.0050557660801460085,32,9.614168358042696e-05
True,True,lrelu,3,753,0.001352068800104177,2.6377506281341273e-06,0.005640595586577844,32,9.763770154977155e-05
True,True,lrelu,4,672,0.0017082159331439702,4.198741432886845e-07,0.006792492455330919,32,0.00010142868498979035
True,True,lrelu,2,666,0.00099857658077251,1.4805470668761845e-06,0.006500660899264351,32,9.802371127062108e-05
True,True,swish,2,842,0.00149309997904706,5.337204481587609e-07,0.006138509251158398,32,0.0001254131644445332
True,False,swish,3,719,0.0006516007398087964,8.743573810439076e-07,0.006700455676231409,64,0.00012777983391449525
True,True,relu,2,555,0.0008089832094674205,7.341615441412567e-07,0.006285275634452294,32,9.600816572008481e-05
False,True,tanh,2,613,0.0011261603893596677,1.2949881822549944e-06,0.006140038336466706,32,9.848911027659387e-05
False,True,tanh,2,700,0.0010190718888283554,9.730188593823117e-07,0.005977166498103971,32,9.369612088404139e-05
False,True,tanh,2,700,0.0009865839828922653,6.192059326995553e-07,0.005847391522264233,32,9.565264803360238e-05
False,True,tanh,2,1022,0.001270366813120157,1.078013901885576e-06,0.005477565408689684,32,9.958518129616347e-05
True,True,lrelu,2,752,0.0022998863284724685,8.802851138172706e-07,0.006877638932869761,32,9.868514895233622e-05
False,True,tanh,2,652,0.0005871023691928491,1.4347035719811417e-06,0.007356974142835485,32,9.66941088507273e-05
False,True,swish,2,571,0.0008116218767895148,1.7240757557860874e-06,0.0056731458956771445,32,0.00016925340277911652
True,True,tanh,2,633,0.001958301719542966,7.06713769908407e-07,0.006506615938981773,32,9.753503233099626e-05
False,False,sigmoid,2,777,0.0025915329668448686,5.589594649291079e-07,0.005959293549685986,32,0.0001803786818153713
False,True,tanh,3,690,0.0014522746634466747,9.96538984407698e-07,0.007181134180938924,128,9.418269801179706e-05
False,True,tanh,2,718,0.0011613312703875034,8.744867120066523e-07,0.006134748899002345,32,9.612551925570418e-05
False,True,tanh,2,831,0.0010360837592860714,2.039556092394473e-06,0.0051737115107650744,32,0.00010329471131307992
False,True,tanh,2,603,0.0009093366682304498,1.1254334140059662e-06,0.006322663216615151,32,9.365534667161578e-05
False,True,tanh,2,598,0.0007247041062290861,1.1198857398724578e-06,0.006419280171260161,32,9.501876316285205e-05
False,True,tanh,2,814,0.0009072343019713008,4.489474951008209e-07,0.006652939861972988,32,9.491084577329389e-05
False,True,tanh,2,674,0.0016468047610469741,6.835851671378529e-07,0.004772581775512274,32,9.334165768559628e-05
False,True,swish,2,659,0.0017089289328086257,1.3566944547385438e-06,0.0047833941621974315,32,0.0001388500107867613
True,True,tanh,2,677,0.0030469484042246336,3.5633599920646737e-07,0.005262630415268172,32,9.755868601314255e-05
